tagset	number	string_reduction
discourse marker	1565	false
discourse marker	393	true
at-mention	214962	false
at-mention	187817	true
determiner	1325	false
determiner	514	true
common noun	170282	false
common noun	47108	true
pre\postposition, sub. conj.	3425	false
pre\postposition, sub. conj.	2139	true
verb	44209	false
verb	20724	true
proper noun	236524	false
proper noun	94518	true
URL or email	76176	false
URL or email	399	true
punctuation	2954	false
punctuation	70	true
interjection	129788	false
interjection	12095	true
pronoun, non possessive	1786	false
pronoun, non possessive	654	true
adverb	9929	false
adverb	4597	true
coordinating conjunction	262	false
coordinating conjunction	99	true
numeral	14726	false
numeral	1064	true
emoticon	19522	false
emoticon	939	true
garbage	177369	false
garbage	44086	true
hashtag	29057	false
hashtag	20050	true
adjective	15090	false
adjective	8221	true
proper noun + possessive	2420	false
proper noun + possessive	1913	true
nominal + verbal	1678	false
nominal + verbal	788	true
verb particle	136	false
verb particle	27	true
nominal + possessive	323	false
nominal + possessive	238	true
existential there	49	false
existential there	27	true
X + verbal	8	false
X + verbal	2	true
